qos_regime,load,metric,comparator,n_pairs,mean_improvement,improvement_sd,improvement_ci95,normality_test,normality_p,test,statistic,raw_p,holm_p,effect_name,effect_size,effect_ci95_low,effect_ci95_high
clean,medium,energy_j,SemiGreedy,30,162.5533467388462,12.283749468944508,4.586822311387735,Jarque-Bera,0.3929709863888162,paired_t,72.4812363129995,0.0,0.0,cohens_dz,13.233202708164132,11.434263177343098,16.94297938459449
clean,medium,run_cost_index,DRL-OO,30,-0.02814751345010323,0.004063900416133739,0.0015174836597820832,Jarque-Bera,0.835631185598204,paired_t,-37.93653012041288,0.0,0.0,cohens_dz,-6.926231100141437,-9.214255459863056,-5.688874854330878
clean,medium,run_cost_index,DT-OPT,30,-0.027322192302770353,0.0033701035475948,0.0012584159407415065,Jarque-Bera,0.7223806248428323,paired_t,-44.40510753861454,0.0,0.0,cohens_dz,-8.107226355780629,-10.861604997442566,-6.774263061444265
clean,medium,run_cost_index,Fog-only,30,-0.03132996633496991,0.003288036244958176,0.0012277715405344888,Jarque-Bera,0.5320775398706675,paired_t,-52.18959892505306,0.0,0.0,cohens_dz,-9.528473532799643,-13.283669542650525,-7.829072103481363
clean,medium,run_cost_index,SemiGreedy,30,-0.02849394831019369,0.005804390497998164,0.0021673926114770072,Jarque-Bera,0.4318118815338677,paired_t,-26.88788469222015,0.0,0.0,cohens_dz,-4.909033656508942,-6.209905066294984,-4.314426661346591
clean,medium,fairness,DRL-OO,30,0.13644407600656808,0.05730941178221233,0.021399662153623017,Jarque-Bera,0.65310283282388,paired_t,13.040353397928698,1.170175067954915e-13,3.042455176682779e-12,cohens_dz,2.38083190462823,1.9415981699128977,3.1107901325019487
clean,medium,fairness,DT-OPT,30,0.0953208308613286,0.059703445925778684,0.022293608196050543,Jarque-Bera,0.7881130761678194,paired_t,8.744783228725057,1.261751814141121e-09,2.271153265454018e-08,cohens_dz,1.5965716782885242,1.2244344177201392,2.217063535946233
clean,medium,fairness,Fog-only,30,0.12007309733831843,0.06406009831507936,0.023920407117074296,Jarque-Bera,0.6499943047704255,paired_t,10.266413210644329,3.622568911509916e-11,7.607394714170823e-10,cohens_dz,1.874382033379645,1.5256561594649634,2.521534210259687
clean,medium,fairness,SemiGreedy,30,0.35944330145115616,0.06583104349798456,0.024581688177692684,Jarque-Bera,0.7136812948049861,paired_t,29.906134535897955,0.0,0.0,cohens_dz,5.4600881643652,4.617719845503777,7.166748108157768
clean,medium,network_failure_rate_pct,DRL-OO,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
clean,medium,network_failure_rate_pct,DT-OPT,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
clean,medium,network_failure_rate_pct,Fog-only,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
clean,medium,network_failure_rate_pct,SemiGreedy,30,0.0,0.0,0.0,Jarque-Bera,1.0,paired_t,0.0,1.0,1.0,cohens_dz,0.0,0.0,0.0
clean,medium,retransmission_overhead_pct,DRL-OO,30,0.006769274618766988,0.05401781365833612,0.02017056058712756,Jarque-Bera,0.7074283638230258,paired_t,0.686381798067032,0.4979241252241091,1.0,cohens_dz,0.12531559795408975,-0.2574093660916963,0.48894403304582224
clean,medium,retransmission_overhead_pct,DT-OPT,30,0.013717372218989448,0.0577065143129705,0.02154794250992587,Jarque-Bera,0.5230672528532524,paired_t,1.3019871817741162,0.2031679053184554,1.0,cohens_dz,0.2377092496800875,-0.09703396048508854,0.6042699928038606
clean,medium,retransmission_overhead_pct,Fog-only,30,0.008750469421671759,0.060937347205688636,0.022754353991546416,Jarque-Bera,0.9799657871815015,paired_t,0.78651758089026,0.43794463892423474,1.0,cohens_dz,0.14359780697599653,-0.20210452575879462,0.5341054531305277
clean,medium,retransmission_overhead_pct,SemiGreedy,30,-0.0032534321784248644,0.043443423756108046,0.016222022915020468,Jarque-Bera,0.08679617889996136,paired_t,-0.41018364561700277,0.6846858818663635,1.0,cohens_dz,-0.07488894514137916,-0.4427550517649195,0.300894252799261
clean,medium,sla_success_pct,DRL-OO,30,1.1687052013898007,0.780982307264593,0.29162326053757526,Jarque-Bera,0.49671508402731457,paired_t,8.196423861596397,4.886617332999776e-09,8.30724946609962e-08,cohens_dz,1.4964554132899828,1.1567924474996432,2.063510372482293
clean,medium,sla_success_pct,DT-OPT,30,1.3989199735176423,0.8711602048403256,0.3252962032852386,Jarque-Bera,0.8595546096296359,paired_t,8.795397464012744,1.1157355039870254e-09,2.2314710079740507e-08,cohens_dz,1.6058125310878375,1.2139766920699033,2.290688384251465
clean,medium,sla_success_pct,Fog-only,30,-1.127675355475272,0.5966229733929854,0.2227824307850021,Jarque-Bera,0.6019565876207404,paired_t,-10.352488209159617,2.990119263301949e-11,6.877274305594483e-10,cohens_dz,-1.8900971061543275,-2.601590943556358,-1.5261110561393765
clean,medium,sla_success_pct,SemiGreedy,30,-1.1900422080380617,0.5818562884275723,0.21726846615752174,Jarque-Bera,0.7273872013916107,paired_t,-11.202301576686281,4.7273296388539165e-12,1.1818324097134791e-10,cohens_dz,-2.045251089842255,-2.8526351728411092,-1.6387718826370619
clean,high,mean_latency_ms,DRL-OO,30,-4.6336389982348525,7.0122064332380285,2.6183979900720407,Jarque-Bera,0.9800065363177024,paired_t,-3.619329560292081,0.0011123577231775261,0.01446065040130784,cohens_dz,-0.6607961477390757,-1.1403981757305932,-0.3019743026803752
clean,high,mean_latency_ms,DT-OPT,30,52.0715030750006,8.160551377799722,3.0471965605900597,Jarque-Bera,0.3964313335414417,paired_t,34.94952181168341,0.0,0.0,cohens_dz,6.380880490092609,5.5300467981425845,7.8501241609078445
clean,high,mean_latency_ms,Fog-only,30,244.35111310470424,194.44825832066655,72.60809184773746,Jarque-Bera,1.9927800317948456e-07,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,3.295355493548868e-05,rank_biserial,1.0,1.0,1.0
clean,high,mean_latency_ms,SemiGreedy,30,-77.88015612068058,5.732554682692171,2.1405687071605537,Jarque-Bera,0.7968474861904712,paired_t,-74.41135872303268,0.0,0.0,cohens_dz,-13.585593235737939,-18.128796628916557,-11.187051662492964
clean,high,p95_latency_ms,DRL-OO,30,115.26233436812214,43.06811976345982,16.081882257529536,Jarque-Bera,0.6789930863896902,paired_t,14.658587584240488,5.995204332975845e-15,1.3788969965844444e-13,cohens_dz,2.6762796936845583,2.2089961019964957,3.5582001181768264
clean,high,p95_latency_ms,DT-OPT,30,249.2078198392605,50.70945683847091,18.935201227694662,Jarque-Bera,0.5184792487055888,paired_t,26.91741401755514,0.0,0.0,cohens_dz,4.914424949040236,4.13344408855795,6.640201988186729
clean,high,p95_latency_ms,Fog-only,30,641.4559956386555,473.99892372099,176.9939092614875,Jarque-Bera,0.029629217488699924,wilcoxon_signed_rank,0.0,1.7343976281836149e-06,3.295355493548868e-05,rank_biserial,1.0,1.0,1.0
clean,high,p95_latency_ms,SemiGreedy,30,-224.32523181821315,30.21906280700825,11.283970896902607,Jarque-Bera,0.5824840615850002,paired_t,-40.659100008858,0.0,0.0,cohens_dz,-7.423302080903342,-10.380061575845373,-6.0150489612071825
clean,high,dmr_pct,DRL-OO,30,-0.7899293843696019,1.0360491566518246,0.38686668101131255,Jarque-Bera,0.7966224907957539,paired_t,-4.176077359626677,0.0002475396415781983,0.003960634265251173,cohens_dz,-0.7624439239180484,-1.3322200897108745,-0.36702561507441167
clean,high,dmr_pct,DT-OPT,30,4.560360907697903,1.116497626573164,0.416906599823163,Jarque-Bera,0.42225717460075546,paired_t,22.371857136654597,0.0,0.0,cohens_dz,4.084523602342887,3.5445525157010342,5.089726433081341
clean,high,dmr_pct,Fog-only,30,34.03382910773924,18.36937087322087,6.8592281518328075,Jarque-Bera,0.3737064006219398,paired_t,10.147922892536268,4.724953761581219e-11,9.92240289932056e-10,cohens_dz,1.8527487600217294,1.538042399981807,2.3951859260686628
clean,high,dmr_pct,SemiGreedy,30,-8.106606641050904,1.132293239088184,0.4228047718828505,Jarque-Bera,0.4386640385603064,paired_t,-39.21397009930359,0.0,0.0,cohens_dz,-7.159458664240558,-10.129458167659156,-5.590217219294114
clean,high,throughput_tasks_s,DRL-OO,30,-0.010370370370370096,0.03536988558907699,0.01320731758502317,Jarque-Bera,0.8438263448308797,paired_t,-1.605910137093868,0.1191294768122857,1.0,cohens_dz,-0.2931977358041751,-0.6715537306049474,0.03698829863652278
